category,company,product,official_url,affiliate_program_url,affiliate_status,affiliate_network,commission,recurring,recurring_duration,cookie_days,india_eligible,global_eligible,approval_required,customer_type,price_range,commercial_intent,competition,content_opportunity,letrusto_fit,profit_score,source_url,source_type,verified_date,notes
Travel,Agoda,Agoda,agoda.com,agoda.com/partners,ACTIVE,Own,4-7% per booking,No,N/A,Session,YES,YES,YES,B2C,Variable,HIGH,VERY HIGH,MEDIUM,LOW,37,agoda.com/partners,Official affiliate page,2026-08-10,Session cookie only. Strong in Asia including India.
Travel,MakeMyTrip,MakeMyTrip,makemytrip.com,makemytrip.com/affiliates,ACTIVE,Own,0.5-2.5% (varies),No,N/A,30,YES,India only,YES,B2C,Variable,HIGH,HIGH,MEDIUM,LOW,37,makemytrip.com/affiliates,Official affiliate page,2026-08-10,India-focused. Low commission but high volume possible.
Travel,Cleartrip,Cleartrip,cleartrip.com,cleartrip.com/affiliates,ACTIVE,Own,Not disclosed,No,N/A,Not disclosed,YES,India only,YES,B2C,Variable,HIGH,HIGH,MEDIUM,LOW,37,cleartrip.com/affiliates,Official affiliate page,2026-08-10,India-focused travel. Commission not verified.
Beauty,Nykaa,Nykaa,nykaa.com,nykaa.com/affiliate,ACTIVE,Own/CJ,2-10% (varies by category),No,N/A,30,YES,India only,YES,B2C,INR 100-10000+,MEDIUM,HIGH,MEDIUM,VERY LOW,39,nykaa.com/affiliate,Official affiliate page,2026-08-10,India-focused beauty affiliate. Good for India audience but wrong category for LeTrusto.
Beauty,Sephora,Sephora,sephora.com,sephora.com/beauty/affiliate,ACTIVE,CJ/Own,5-10%,No,N/A,7,Limited India,YES,B2C,$10-$500+,MEDIUM,HIGH,MEDIUM,VERY LOW,39,sephora.com/beauty/affiliate,Official affiliate page,2026-08-10,Limited India availability. 7-day cookie. Architecture mismatch for LeTrusto.
Beauty,Purplle,Purplle,purplle.com,purplle.com/affiliates,ACTIVE,Own,Not disclosed,No,N/A,Not disclosed,YES,India only,YES,B2C,INR 100-5000,LOW,MEDIUM,LOW,VERY LOW,35,purplle.com/affiliates,Official affiliate page,2026-08-10,India beauty. Commission not verified. Not suitable for LeTrusto.
Beauty,SUGAR Cosmetics,SUGAR,sugarcosmetics.com,sugarcosmetics.com (affiliate),ACTIVE,Own,Not disclosed,No,N/A,Not disclosed,YES,India only,YES,B2C,INR 100-3000,LOW,MEDIUM,LOW,VERY LOW,35,sugarcosmetics.com,Official affiliate page,2026-08-10,India beauty brand. Not suitable for LeTrusto architecture.
Beauty,Honasa/Mamaearth,Mamaearth,mamaearth.in,mamaearth.in/affiliate,ACTIVE,Own,Not disclosed,No,N/A,Not disclosed,YES,India only,YES,B2C,INR 100-2000,LOW,MEDIUM,LOW,VERY LOW,35,mamaearth.in/affiliate,Official affiliate page,2026-08-10,India beauty/personal care. Not suitable for LeTrusto.
Pets,Chewy,Chewy,chewy.com,chewy.com/affiliates,ACTIVE,CJ,Not publicly disclosed,No,N/A,Not disclosed,NO (US only),NO (US only),YES,B2C,$10-$200+,MEDIUM,MEDIUM,MEDIUM,VERY LOW,36,chewy.com/affiliates,Official affiliate page,2026-08-10,US-only. Cannot serve Indian users. Not suitable for India-focused LeTrusto.
Pets,Petco,Petco,petco.com,petco.com/affiliates,ACTIVE,CJ,Not publicly disclosed,No,N/A,14,NO (US only),NO (US only),YES,B2C,$10-$500+,MEDIUM,MEDIUM,MEDIUM,VERY LOW,36,petco.com/affiliates,Official affiliate page,2026-08-10,US-only. 14-day cookie. Cannot serve Indian users.
Pets,Heads Up For Tails,Heads Up For Tails (HUFT),huft.com,huft.com (affiliate),ACTIVE,Own,Not disclosed,No,N/A,Not disclosed,YES,India only,Unknown,B2C,INR 100-5000,LOW,LOW,LOW,VERY LOW,36,huft.com,Official affiliate page,2026-08-10,India pet brand. Commission not verified. Very limited program documentation.
Electronics,Amazon,Amazon Associates India,amazon.in,affiliate-program.amazon.in,ACTIVE,Own,0.5-10% (varies by category; electronics 0.5-4%),No,N/A,24 hours,YES,India,NO,B2C,Variable,HIGH,VERY HIGH,HIGH,LOW,35,affiliate-program.amazon.in,Official affiliate page,2026-08-10,Electronics category: 0.5-4%. 24-hour cookie extremely short. Dominated by Amazon itself.
Electronics,Flipkart,Flipkart Affiliate,flipkart.com,affiliate.flipkart.com,ACTIVE,Own,0.5-15% (varies; electronics lower),No,N/A,24 hours,YES,India only,NO,B2C,Variable,HIGH,VERY HIGH,HIGH,LOW,35,affiliate.flipkart.com,Official affiliate page,2026-08-10,India-focused. Low electronics commissions. 24-hour cookie. Dominated by Flipkart itself.
Electronics,Best Buy,Best Buy,bestbuy.com,bestbuy.com/site/affiliate-program,ACTIVE,Impact.com,0.5-1% on electronics,No,N/A,24 hours,NO (US only),NO,YES,B2C,$50-$5000+,HIGH,VERY HIGH,HIGH,LOW,35,bestbuy.com/site/affiliate-program,Official affiliate page,2026-08-10,US-only. 0.5-1% electronics commission. Not suitable for India.
